id,timestamp,speed,vibration,pos-x,pos-y,state
mower-1000,2024-03-11T09:06:44.038905,1,17,1,1,normal
mower-1000,2024-03-11T09:05:19.038905,2,11,1,3,normal
mower-1000,2024-03-11T09:06:55.038905,3,14,1,6,normal
mower-1000,2024-03-11T09:05:22.038905,1,39,1,7,bumpy
mower-1000,2024-03-11T09:05:25.038905,2,41,1,9,bumpy
mower-1000,2024-03-11T09:06:03.038905,2,40,1,10,bumpy
mower-1000,2024-03-11T09:05:57.038905,1,4,2,9,normal
mower-1000,2024-03-11T09:06:08.038905,2,17,2,7,normal
mower-1000,2024-03-11T09:05:54.038905,2,16,2,5,normal
mower-1000,2024-03-11T09:05:26.038905,3,3,2,2,normal
mower-1000,2024-03-11T09:06:03.038905,3,14,2,0,normal
mower-1000,2024-03-11T09:06:03.038905,1,4,3,1,normal
mower-1000,2024-03-11T09:06:11.038905,1,107,3,2,crash
mower-1000,2024-03-11T09:06:30.038905,2,1,3,4,normal
mower-1000,2024-03-11T09:06:49.038905,2,16,3,6,normal
mower-1000,2024-03-11T09:06:27.038905,3,20,3,9,normal
mower-1000,2024-03-11T09:05:18.038905,0,116,3,9,crash
mower-1000,2024-03-11T09:05:49.038905,2,12,3,10,normal
mower-1000,2024-03-11T09:06:06.038905,1,9,4,9,normal
mower-1000,2024-03-11T09:05:39.038905,3,16,4,6,normal
mower-1000,2024-03-11T09:05:47.038905,3,10,4,3,normal
mower-1000,2024-03-11T09:06:11.038905,2,19,4,1,normal
mower-1000,2024-03-11T09:05:52.038905,2,5,4,0,normal
mower-1000,2024-03-11T09:06:53.038905,1,18,5,1,normal
mower-1000,2024-03-11T09:05:31.038905,3,12,5,4,normal
mower-1000,2024-03-11T09:05:24.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:33.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:14.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:20.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:42.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:21.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:13.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:33.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:59.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:14.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:12.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:53.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:40.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:26.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:47.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:58.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:50.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:26.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:30.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:32.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:51.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:43.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:55.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:42.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:19.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:26.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:35.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:37.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:05:38.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:27.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:30.038905,0,0,5,4,stuck
mower-1000,2024-03-11T09:06:37.038905,0,0,5,4,stuck
